ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,1,6,2,80,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,2,6,2,80,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,3,6,2,80,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,4,10,3,212,3,0,0,0,0,4,6,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,5,24,5,1641,5,0,0,0,0,41,10,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,6,47,6,7062,6,0,0,0,0,38,12,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,7,138,206,23294,206,0,0,0,0,62,12,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,8,254,206,17666,206,0,0,0,0,87,12,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,9,243,26,16088,26,0,0,0,0,296,12,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,10,111,3,8155,3,0,0,0,0,289,6,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,11,4,2,68,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,12,4,2,68,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1989,853,465,74494,7200,0,0,0,0,827,90,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,1,6,2,80,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,2,6,2,80,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,3,6,4,80,4,0,0,0,0,2,8,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,4,10,28,212,28,0,0,0,0,4,15,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,5,100,5,14400,5,0,0,0,0,600,10,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,6,45,6,1274,6,0,0,0,0,15,12,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,7,168,0,3283,0,0,0,0,0,92,0,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,8,278,0,4421,0,0,0,0,0,87,0,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,9,216,0,9788,0,0,0,0,0,174,0,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,10,124,0,5112,0,0,0,0,0,158,0,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,11,4,2,68,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,12,4,2,68,2,0,0,0,0,2,4,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1990,967,51,38866,1664,0,0,0,0,1140,61,0
Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1991,1,8,0,72,0,0,0,0,0,2,0,0,Aniakchak NM & PRES,ANIA,National Monument,Alaska,AK,1991,1469,9,31451,72,0,0,0,0,913,0,0
