ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,1,2559,0,5118,0,0,0,0,0,0,0,0,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,2,3001,0,6002,0,0,0,0,0,0,0,0,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,3,6578,0,17206,0,0,0,0,0,0,0,135,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,4,12849,0,45108,0,0,0,0,0,0,0,647,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,5,15241,0,36632,0,0,0,0,0,0,0,205,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,6,17878,0,40916,0,0,0,0,0,0,0,172,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,7,20755,0,50360,0,0,0,0,0,0,0,295,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,8,16601,0,37102,0,0,0,0,0,0,0,130,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,9,12139,0,39128,0,0,0,0,0,0,0,495,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,10,16614,0,42318,0,0,0,0,0,0,0,303,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,11,7068,0,24306,0,0,0,0,0,0,0,339,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,12,3834,0,10158,0,0,0,0,0,0,0,83,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,135117,0,354354,0,0,0,0,0,0,0,2804
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,1,3356,0,6712,0,0,0,0,0,0,0,0,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,147007,0,358004,0,0,0,0,0,0,0,2133
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,2,4012,0,9074,0,0,0,0,0,0,0,35,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,147007,0,358004,0,0,0,0,0,0,0,2133
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,3,7920,0,18720,0,0,0,0,0,0,0,96,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,147007,0,358004,0,0,0,0,0,0,0,2133
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,4,11335,0,42410,0,0,0,0,0,0,0,658,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,147007,0,358004,0,0,0,0,0,0,0,2133
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,5,16520,0,38920,0,0,0,0,0,0,0,196,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,147007,0,358004,0,0,0,0,0,0,0,2133
