ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,1,373,0,373,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,2,393,0,393,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,3,469,0,469,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,4,894,0,894,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,5,4868,0,7668,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,6,7135,0,12235,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,7,12036,0,21036,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,8,10081,0,17881,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,9,4554,0,6908,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,10,1876,0,3328,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,11,367,0,505,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,12,305,0,305,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1988,43351,0,71995,0,0,0,0,0,0,0,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,1,225,0,225,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,2,177,0,177,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,3,407,0,407,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,4,1141,0,1241,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,5,4374,0,6760,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,6,7609,0,12627,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,7,12321,0,20351,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,8,14814,0,22814,0,0,0,0,0,0,55,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,9,6408,0,9842,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,10,1983,0,3530,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,11,444,0,554,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,12,128,0,128,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1989,50031,0,78656,0,0,0,0,0,0,55,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,1,188,0,188,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,2,291,0,291,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,3,585,0,585,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,4,1165,0,1615,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,5,3718,0,5746,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,6,7875,0,13043,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,7,10103,0,16687,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,8,10710,0,18689,0,0,0,0,0,0,12,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,9,6714,0,12052,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,10,1834,0,2506,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,11,501,0,601,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,12,136,0,196,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1990,43820,0,72199,0,0,0,0,0,0,12,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,1,247,0,247,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,54065,0,86319,0,0,0,0,0,0,109,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,2,498,0,498,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,54065,0,86319,0,0,0,0,0,0,109,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,3,615,0,665,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,54065,0,86319,0,0,0,0,0,0,109,0
Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,4,847,0,947,0,0,0,0,0,0,0,0,Big Hole NB,BIHO,National Battlefield,Pacific West ,MT,1991,54065,0,86319,0,0,0,0,0,0,109,0
