Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,1,"2,559",0,"5,118",0,0,0,0,0,0,0,0,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,2,"3,001",0,"6,002",0,0,0,0,0,0,0,0,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,3,"6,578",0,"17,206",0,0,0,0,0,0,0,135,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,4,"12,849",0,"45,108",0,0,0,0,0,0,0,647,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,5,"15,241",0,"36,632",0,0,0,0,0,0,0,205,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,6,"17,878",0,"40,916",0,0,0,0,0,0,0,172,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,7,"20,755",0,"50,360",0,0,0,0,0,0,0,295,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,8,"16,601",0,"37,102",0,0,0,0,0,0,0,130,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,9,"12,139",0,"39,128",0,0,0,0,0,0,0,495,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,10,"16,614",0,"42,318",0,0,0,0,0,0,0,303,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,11,"7,068",0,"24,306",0,0,0,0,0,0,0,339,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,12,"3,834",0,"10,158",0,0,0,0,0,0,0,83,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1988,"135,117",0,"354,354",0,0,0,0,0,0,0,"2,804"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,1,"3,356",0,"6,712",0,0,0,0,0,0,0,0,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,"147,007",0,"358,004",0,0,0,0,0,0,0,"2,133"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,2,"4,012",0,"9,074",0,0,0,0,0,0,0,35,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,"147,007",0,"358,004",0,0,0,0,0,0,0,"2,133"
Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,3,"7,920",0,"18,720",0,0,0,0,0,0,0,96,Antietam NB,ANTI,National Battlefield,National Capital ,MD,1989,"147,007",0,"358,004",0,0,0,0,0,0,0,"2,133"
