Park Name,monitor_code,unit_code
Abraham Lincoln Birthplace NHP,MACA1,ABLI
Acadia NP,ACAD1,ACAD
Agate Fossil Beds NM,WICA1,AGFO
Allegheny Portage Railroad NHS,FRRE1,ALPO
Appomattox Court House NHP,JARI1,APCO
Arches NP,CANY1,ARCH
"Arlington House, The Robert E. Lee N MEM",WASH1,ARHO
Assateague Island NS,BRIG1,ASIS
Badlands NP,BADL1,BADL
Bandelier NM,BAND1,BAND
Big Bend NP,BIBE1,BIBE
Big Cypress N PRES,EVER1,BICY
Big Hole NB,SULA1,BIHO
Big South Fork NRRA,MACA1,BISO
Bighorn Canyon NRA,NOCH1,BICA
Biscayne NP,EVER1,BISC
Black Canyon Of The Gunnison NP,WEMI1,BLCA
Blue Ridge PKWY,SHRO1,BLRI
Booker T Washington NM,JARI1,BOWA
Bryce Canyon NP,BRCA1,BRCA
Buffalo NR,UPBU1,BUFF
Canyon De Chelly NM,PEFO1,CACH
Canyonlands NP,CANY1,CANY
Cape Cod NS,CACO1,CACO
Cape Hatteras NS,SWAN1,CAHA
Cape Lookout NS,SWAN1,CALO
Capitol Reef NP,CAPI1,CARE
Carl Sandburg Home NHS,GRSM1,CARL
Carlsbad Caverns NP,GUMO1,CAVE
Carter G. Woodson Home NHS,WASH1,CAWO
Cedar Breaks NM,BRCA1,CEBR
Chaco Culture NHP,BAND1,CHCU
Chesapeake & Ohio Canal NHP,WASH1,CHOH
Chiricahua NM,CHIR1,CHIR
Christiansted NHS,VIIS1,CHRI
City Of Rocks N RES,JARB1,CIRO
Clara Barton NHS,WASH1,CLBA
Colorado NM,CANY1,COLM
Congaree NP,ROMA1,CONG
Coronado N MEM,CHIR1,CORO
Crater Lake NP,CRLA1,CRLA
Craters Of The Moon NM & PRES,CRMO1,CRMO
Cumberland Gap NHP,GRSM1,CUGA
Curecanti NRA,WEMI1,CURE
De Soto N MEM,CHAS1,DESO
Death Valley NP,DEVA1,DEVA
Denali NP & PRES,DENA1,DENA
Devils Postpile NM,KAIS1,DEPO
Devils Tower NM,THBA1,DETO
Dinosaur NM,FLTO1,DINO
Dry Tortugas NP,EVER1,DRTO
El Malpais NM,BALD1,ELMA
Everglades NP,EVER1,EVER
Flight 93 N MEM,FRRE1,FLNI
Florissant Fossil Beds NM,GRSA1,FLFO
Ford's Theatre NHS,WASH1,FOTH
Fort Bowie NHS,CHIR1,FOBO
Fort Larned NHS,CEBL1,FOLS
Fort Raleigh NHS,SWAN1,FORA
Fort Sumter NM,ROMA1,FOSU
Fort Union NM,BAND1,FOUN
